  5  2  3  8  1  6  7  4 15 16 13 14 11 12  9 10 20 18 19 17 21
  4  7  6  1  8  3  2  5 14 13 16 15 10  9 12 11 17 19 18 20 21
  6  8  4  2  7  5  1  3 16 15 14 13 10  9 12 11 18 20 17 19 21
  7  4  8  3  6  1  5  2 14 13 16 15 12 11 10  9 19 17 20 18 21
  8  6  7  5  4  2  3  1 16 15 14 13 12 11 10  9 20 18 19 17 21
  1  2  4  3  6  5  7  8  9 11 10 12 17 19 18 20 13 15 14 16 21
  2  1  6  5  4  3  8  7  9 11 10 12 18 20 17 19 15 13 16 14 21
  3  5  7  1  8  2  4  6 11  9 12 10 19 17 20 18 13 15 14 16 21
  5  3  8  2  7  1  6  4 11  9 12 10 20 18 19 17 15 13 16 14 21
  4  6  1  7  2  8  3  5 10 12  9 11 17 19 18 20 14 16 13 15 21
  6  4  2  8  1  7  5  3 10 12  9 11 18 20 17 19 16 14 15 13 21
  7  8  3  4  5  6  1  2 12 10 11  9 19 17 20 18 14 16 13 15 21
  8  7  5  6  3  4  2  1 12 10 11  9 20 18 19 17 16 14 15 13 21
  1  4  3  2  7  6  5  8 17 18 19 20 13 15 14 16  9 10 11 12 21
  2  6  5  1  8  4  3  7 18 17 20 19 15 13 16 14  9 10 11 12 21
  3  7  1  5  4  8  2  6 19 20 17 18 13 15 14 16 11 12  9 10 21
  5  8  2  3  6  7  1  4 20 19 18 17 15 13 16 14 11 12  9 10 21
  4  1  7  6  3  2  8  5 17 18 19 20 14 16 13 15 10  9 12 11 21
  6  2  8  4  5  1  7  3 18 17 20 19 16 14 15 13 10  9 12 11 21
  7  3  4  8  1  5  6  2 19 20 17 18 14 16 13 15 12 11 10  9 21
  8  5  6  7  2  3  4  1 20 19 18 17 16 14 15 13 12 11 10  9 21
 17  8  5
  1  2  3  4  5
  1  2  4  3  5
  2  1  3  4  5
  2  1  4  3  5
  3  4  1  2  5
  4  3  1  2  5
  3  4  2  1  5
  4  3  2  1  5
 18  2  3
  1  2  3
  2  1  3
 19  1  1
  1
 20  2  3
  1  2  3
  2  1  3
 21  8 12
  1  2  3  4  5  6  7  8  9 10 11 12
  2  1  4  3  5  6  7  8 10  9 11 12
  4  3  2  1  6  5  8  7  9 10 11 12
  3  4  1  2  6  5  8  7 10  9 11 12
  1  2  3  4  7  8  5  6  9 10 11 12
  2  1  4  3  7  8  5  6 10  9 11 12
  4  3  2  1  8  7  6  5  9 10 11 12
  3  4  1  2  8  7  6  5 10  9 11 12
 22 48 11
  1  2  3  4  5  6  7  8  9 10 11
  3  4  2  1 10  9  8  7  6  5 11
  2  1  4  3  5  6  7  8  9 10 11
  4  3  1  2 10  9  8  7  6  5 11
  1  2  3  4  7  5  6  9 10  8 11
  3  4  2  1  8 10  9  6  5  7 11
  2  1  4  3  7  5  6  9 10  8 11
  4  3  1  2  8 10  9  6  5  7 11
  1  2  3  4  6  7  5 10  8  9 11
  3  4  2  1  9  8 10  5  7  6 11
  2  1  4  3  6  7  5 10  8  9 11
  4  3  1  2  9  8 10  5  7  6 11
  1  2  4  3  6  5  7  8 10  9 11
  3  4  1  2  9 10  8  7  5  6 11
  2  1  3  4  6  5  7  8 10  9 11
  4  3  2  1  9 10  8  7  5  6 11
  1  2  4  3  5  7  6  9  8 10 11
  3  4  1  2 10  8  9  6  7  5 11
  2  1  3  4  5  7  6  9  8 10 11
  4  3  2  1 10  8  9  6  7  5 11
  1  2  4  3  7  6  5 10  9  8 11
  3  4  1  2  8  9 10  5  6  7 11
  2  1  3  4  7  6  5 10  9  8 11
  4  3  2  1  8  9 10  5  6  7 11
  1  2  4  3  5  6  7  8  9 10 11
  3  4  1  2 10  9  8  7  6  5 11
  2  1  3  4  5  6  7  8  9 10 11
  4  3  2  1 10  9  8  7  6  5 11
  1  2  4  3  7  5  6  9 10  8 11
